symbol,yfinance_symbol,name,sector,exchange
TRMK,TRMK,TRUSTMARK CORP,Financials,NASDAQ
OSW,OSW,ONESPAWORLD HOLDINGS LTD,Consumer Discretionary,NASDAQ
ICHR,ICHR,ICHOR HOLDINGS LTD,Information Technology,NASDAQ
KALU,KALU,KAISER ALUMINIUM CORP,Materials,NASDAQ
PENN,PENN,PENN ENTERTAINMENT INC,Consumer Discretionary,NASDAQ
CALY,CALY,CALLAWAY GOLF COMPANY,Consumer Discretionary,NYSE
BWIN,BWIN,BALDWIN INSURANCE GROUP INC CLASS,Financials,NASDAQ
VISN,VISN,VISTANCE NETWORKS INC,Information Technology,NASDAQ
ACHC,ACHC,ACADIA HEALTHCARE COMPANY INC,Health Care,NASDAQ
PTON,PTON,PELOTON INTERACTIVE CLASS A INC,Consumer Discretionary,NASDAQ
TMDX,TMDX,TRANSMEDICS GROUP INC,Health Care,NASDAQ
RH,RH,RH,Consumer Discretionary,NYSE
CC,CC,CHEMOURS,Materials,NYSE
BANC,BANC,BANC OF CALIFORNIA INC,Financials,NYSE
HGV,HGV,HILTON GRAND VACATIONS INC,Consumer Discretionary,NYSE
BEAM,BEAM,BEAM THERAPEUTICS INC,Health Care,NASDAQ
PENG,PENG,PENGUIN SOLUTIONS INC,Information Technology,NASDAQ
TBBK,TBBK,BANCORP INC,Financials,NASDAQ
IVT,IVT,INVENTRUST PROPERTIES CORP,Real Estate,NYSE
KNTK,KNTK,KINETIK HOLDINGS INC CLASS A,Energy,NYSE
DCO,DCO,DUCOMMUN INC,Industrials,NYSE
FBNC,FBNC,FIRST BANCORP,Financials,NASDAQ
HLIO,HLIO,HELIOS TECHNOLOGIES INC,Industrials,NYSE
KMT,KMT,KENNAMETAL INC,Industrials,NYSE
ALRM,ALRM,ALARM.COM HOLDINGS INC,Information Technology,NASDAQ
DNOW,DNOW,DNOW INC,Industrials,NYSE
WAFD,WAFD,WAFD INC,Financials,NASDAQ
CXT,CXT,CRANE NXT,Information Technology,NYSE
DGII,DGII,DIGI INTERNATIONAL INC,Information Technology,NASDAQ
SUPN,SUPN,SUPERNUS PHARMACEUTICALS INC,Health Care,NASDAQ
APAM,APAM,ARTISAN PARTNERS ASSET MANAGEMENT,Financials,NYSE
NEOG,NEOG,NEOGEN CORP,Health Care,NASDAQ
WT,WT,WISDOMTREE INC,Financials,NYSE
VVX,VVX,V2X INC,Industrials,NYSE
SEZL,SEZL,SEZZLE INC,Financials,NASDAQ
HWKN,HWKN,HAWKINS INC,Materials,NASDAQ
LCII,LCII,LCI INDUSTRIES,Consumer Discretionary,NYSE
BBT,BBT,BEACON FINANCIAL CORP,Financials,NYSE
ESTA,ESTA,ESTABLISHMENT LABS INC,Health Care,NASDAQ
NTB,NTB,BANK OF NT BUTTERFIELD & SON LTD,Financials,NYSE
RCUS,RCUS,ARCUS BIOSCIENCES INC,Health Care,NYSE
RARE,RARE,ULTRAGENYX PHARMACEUTICAL INC,Health Care,NASDAQ
SKWD,SKWD,SKYWARD SPECIALTY INSURANCE GROUP,Financials,NASDAQ
BATRK,BATRK,ATLANTA BRAVES HOLDINGS INC SERIES,Communication,NASDAQ
NGVT,NGVT,INGEVITY CORP,Materials,NYSE
TARS,TARS,TARSUS PHARMACEUTICALS INC,Health Care,NASDAQ
SHAK,SHAK,SHAKE SHACK INC CLASS A,Consumer Discretionary,NYSE
GPOR,GPOR,GULFPORT ENERGY CORP,Energy,NYSE
PLUS,PLUS,EPLUS,Information Technology,NASDAQ
EFSC,EFSC,ENTERPRISE FINANCIAL SERVICES CORP,Financials,NASDAQ
SPSC,SPSC,SPS COMMERCE INC,Information Technology,NASDAQ
NKTR,NKTR,NEKTAR THERAPEUTICS,Health Care,NASDAQ
JOE,JOE,ST JOE,Real Estate,NYSE
GPGI,GPGI,GPGI INC CLASS A,Information Technology,NYSE
VCEL,VCEL,VERICEL CORP,Health Care,NASDAQ
SOUN,SOUN,SOUNDHOUND AI INC CLASS A,Information Technology,NASDAQ
ATKR,ATKR,ATKORE INC,Industrials,NYSE
IMNM,IMNM,IMMUNOME INC,Health Care,NASDAQ
CUBI,CUBI,CUSTOMERS BANCORP INC,Financials,NYSE
MAN,MAN,MANPOWER INC,Industrials,NYSE
BANF,BANF,BANCFIRST CORP,Financials,NASDAQ
BULL,BULL,WEBULL CORP CLASS A,Financials,NASDAQ
FRSH,FRSH,FRESHWORKS INC CLASS A,Information Technology,NASDAQ
ANDE,ANDE,ANDERSONS INC,Consumer Staples,NASDAQ
BXMT,BXMT,BLACKSTONE MORTGAGE TRUST REIT CLA,Financials,NYSE
PBH,PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care,NYSE
ALGT,ALGT,ALLEGIANT TRAVEL,Industrials,NASDAQ
KEEL,KEEL,KEEL INFRASTRUCTURE CORP,Information Technology,NASDAQ
BLBD,BLBD,BLUE BIRD CORP,Industrials,NASDAQ
BRZE,BRZE,BRAZE INC CLASS A,Information Technology,NASDAQ
CTRI,CTRI,CENTURI HOLDINGS INC,Industrials,NYSE
RAMP,RAMP,LIVERAMP HOLDINGS INC,Information Technology,NYSE
AAMI,AAMI,ACADIAN ASSET MANAGEMENT INC,Financials,NYSE
NMRK,NMRK,NEWMARK GROUP INC CLASS A,Real Estate,NASDAQ
CNS,CNS,COHEN & STEERS INC,Financials,NYSE
WAY,WAY,WAYSTAR HOLDING CORP,Health Care,NASDAQ
AEHR,AEHR,AEHR TEST SYSTEMS,Information Technology,NASDAQ
ELVN,ELVN,ENLIVEN THERAPEUTICS INC,Health Care,NASDAQ
SGHC,SGHC,SUPER GROUP LTD,Consumer Discretionary,NYSE
IPAR,IPAR,INTERPARFUMS INC,Consumer Staples,NASDAQ
UPST,UPST,UPSTART HOLDINGS INC,Financials,NASDAQ
NWBI,NWBI,NORTHWEST BANCSHARES INC,Financials,NASDAQ
ALMS,ALMS,ALUMIS INC,Health Care,NASDAQ
PFSI,PFSI,PENNYMAC FINANCIAL SERVICES INC,Financials,NYSE
ATAI,ATAI,ATAIBECKLEY INC,Health Care,NASDAQ
SYBT,SYBT,STOCK YARDS BANCORP INC,Financials,NASDAQ
BANR,BANR,BANNER CORP,Financials,NASDAQ
MTX,MTX,MINERALS TECHNOLOGIES INC,Materials,NYSE
NRIX,NRIX,NURIX THERAPEUTICS INC,Health Care,NASDAQ
MANE,MANE,VERADERMICS INC,Health Care,NYSE
IRON,IRON,DISC MEDICINE INC,Health Care,NASDAQ
WERN,WERN,WERNER ENTERPRISES INC,Industrials,NASDAQ
HAPN,HAPN,HAPPEN INC,Financials,NASDAQ
FCF,FCF,FIRST COMMONWEALTH FINANCIAL CORP,Financials,NYSE
RUN,RUN,SUNRUN INC,Industrials,NASDAQ
OUST,OUST,OUSTER INC,Information Technology,NASDAQ
LMAT,LMAT,LEMAITRE VASCULAR INC,Health Care,NASDAQ
MD,MD,PEDIATRIX MEDICAL GROUP INC,Health Care,NYSE
ROG,ROG,ROGERS CORP,Information Technology,NYSE
ATRO,ATRO,ASTRONICS CORP,Industrials,NASDAQ
NWL,NWL,NEWELL BRANDS INC,Consumer Discretionary,NASDAQ
IMAX,IMAX,IMAX CORP,Communication,NYSE
BFH,BFH,BREAD FINANCIAL HOLDINGS INC,Financials,NYSE
PACS,PACS,PACS GROUP INC,Health Care,NYSE
HE,HE,HAWAIIAN ELECTRIC INDUSTRIES INC,Utilities,NYSE
HTO,HTO,H2O AMERICA,Utilities,NASDAQ
PGNY,PGNY,PROGYNY INC,Health Care,NASDAQ
AXGN,AXGN,AXOGEN INC,Health Care,NASDAQ
NOG,NOG,NORTHERN OIL AND GAS INC,Energy,NYSE
ATEN,ATEN,A10 NETWORKS INC,Information Technology,NYSE
COHU,COHU,COHU INC,Information Technology,NASDAQ
ADUS,ADUS,ADDUS HOMECARE CORP,Health Care,NASDAQ
AVPT,AVPT,AVEPOINT INC CLASS A,Information Technology,NASDAQ
IOSP,IOSP,INNOSPEC INC,Materials,NASDAQ
BBUC,BBUC,BROOKFIELD BUSINESS CORP CLASS A,Industrials,NYSE
KWR,KWR,QUAKER HOUGHTON CORP,Materials,NYSE
KSS,KSS,KOHLS CORP,Consumer Discretionary,NYSE
NWN,NWN,NORTHWEST NATURAL HOLDING COMPANY,Utilities,NYSE
MZTI,MZTI,MARZETTI,Consumer Staples,NASDAQ
BCRX,BCRX,BIOCRYST PHARMACEUTICALS INC,Health Care,NASDAQ
STC,STC,STEWART INFO SERVICES CORP,Financials,NYSE
AIN,AIN,ALBANY INTERNATIONAL CORP CLASS A,Industrials,NYSE
OFG,OFG,OFG BANCORP,Financials,NYSE
SHO,SHO,SUNSTONE HOTEL INVESTORS REIT INC,Real Estate,NYSE
GEF,GEF,GREIF INC CLASS A,Materials,NYSE
AGM,AGM,FEDERAL AGRICULTURAL MORTGAGE NON,Financials,NYSE
NTST,NTST,NETSTREIT CORP,Real Estate,NYSE
VERA,VERA,VERA THERAPEUTICS INC CLASS A,Health Care,NASDAQ
GRBK,GRBK,GREEN BRICK PARTNERS INC,Consumer Discretionary,NYSE
NG,NG,NOVAGOLD RESOURCES INC,Materials,NYSE American
HMN,HMN,HORACE MANN EDUCATORS CORP,Financials,NYSE
FIVN,FIVN,FIVE9 INC,Information Technology,NASDAQ
HCI,HCI,HCI GROUP INC,Financials,NYSE
NEO,NEO,NEOGENOMICS INC,Health Care,NASDAQ
ARR,ARR,ARMOUR RESIDENTIAL REIT INC,Financials,NYSE
CALX,CALX,CALIX NETWORKS INC,Information Technology,NYSE
NNI,NNI,NELNET INC CLASS A,Financials,NYSE
PAY,PAY,PAYMENTUS HOLDINGS INC CLASS A,Financials,NYSE
JBLU,JBLU,JETBLUE AIRWAYS CORP,Industrials,NASDAQ
WTTR,WTTR,SELECT WATER SOLUTIONS INC CLASS A,Energy,NYSE
WLY,WLY,JOHN WILEY AND SONS INC CLASS A,Communication,NYSE
LFST,LFST,LIFESTANCE HEALTH GROUP INC,Health Care,NASDAQ
HTFL,HTFL,HEARTFLOW INC,Health Care,NASDAQ
CHCO,CHCO,CITY HOLDING,Financials,NASDAQ
MBX,MBX,MBX BIOSCIENCES INC,Health Care,NASDAQ
SPB,SPB,SPECTRUM BRANDS HOLDINGS INC,Consumer Staples,NYSE
HUN,HUN,HUNTSMAN CORP,Materials,NYSE
TNET,TNET,TRINET GROUP INCINARY,Industrials,NYSE
DXPE,DXPE,DXP ENTERPRISES INC,Industrials,NASDAQ
DHC,DHC,DIVERSIFIED HEALTHCARE TRUST,Real Estate,NASDAQ
NVTS,NVTS,NAVITAS SEMICONDUCTOR CORP,Information Technology,NASDAQ
GT,GT,GOODYEAR TIRE & RUBBER,Consumer Discretionary,NASDAQ
DXC,DXC,DXC TECHNOLOGY,Information Technology,NYSE
ECPG,ECPG,ENCORE CAPITAL GROUP INC,Financials,NASDAQ
LTC,LTC,LTC PROPERTIES REIT INC,Real Estate,NYSE
NSP,NSP,INSPERITY INC,Industrials,NYSE
WKC,WKC,WORLD KINECT CORP,Energy,NYSE
ATRC,ATRC,ATRICURE INC,Health Care,NASDAQ
EVTC,EVTC,EVERTEC INC,Financials,NYSE
ADMA,ADMA,ADMA BIOLOGICS INC,Health Care,NASDAQ
GTY,GTY,GETTY REALTY REIT CORP,Real Estate,NYSE
TILE,TILE,INTERFACE INC,Industrials,NASDAQ
PEB,PEB,PEBBLEBROOK HOTEL TRUST REIT,Real Estate,NYSE
GABC,GABC,GERMAN AMERICAN BANCORP INC,Financials,NASDAQ
NCNO,NCNO,NCINO INC,Information Technology,NASDAQ
CDNA,CDNA,CAREDX INC,Health Care,NASDAQ
FLYW,FLYW,FLYWIRE CORP,Financials,NASDAQ
PRDO,PRDO,PERDOCEO EDUCATION CORP,Consumer Discretionary,NASDAQ
TRVI,TRVI,TREVI THERAPEUTICS INC,Health Care,NASDAQ
SLS,SLS,SELLAS LIFE SCIENCES GROUP INC,Health Care,NASDAQ
UFPT,UFPT,UFP TECHNOLOGIES INC,Health Care,NASDAQ
AGIO,AGIO,AGIOS PHARMACEUTICALS INC,Health Care,NASDAQ
UTI,UTI,UNIVERSAL TECHNICAL INSTITUTE INC,Consumer Discretionary,NYSE
INOD,INOD,INNODATA INC,Industrials,NASDAQ
STRA,STRA,STRATEGIC EDUCATION INC,Consumer Discretionary,NASDAQ
TNK,TNK,TEEKAY TANKERS LTD CLASS A,Energy,NYSE
CPRI,CPRI,CAPRI HOLDINGS LTD,Consumer Discretionary,NYSE
STUB,STUB,STUBHUB HOLDINGS INC CLASS A,Communication,NYSE
AMLX,AMLX,AMYLYX PHARMACEUTICALS INC,Health Care,NASDAQ
XHR,XHR,XENIA HOTELS RESORTS REIT INC,Real Estate,NYSE
PAYO,PAYO,PAYONEER GLOBAL INC,Financials,NASDAQ
CASH,CASH,PATHWARD FINANCIAL INC,Financials,NASDAQ
NBHC,NBHC,NATIONAL BANK HOLDINGS CORP CLASS,Financials,NYSE
IOVA,IOVA,IOVANCE BIOTHERAPEUTICS INC,Health Care,NASDAQ
EPAC,EPAC,ENERPAC TOOL GROUP CORP CLASS A,Industrials,NYSE
TALO,TALO,TALOS ENERGY INC,Energy,NYSE
CLOV,CLOV,CLOVER HEALTH INVESTMENTS CORP CLA,Health Care,NASDAQ
BHVN,BHVN,BIOHAVEN LTD,Health Care,NYSE
CENTA,CENTA,CENTRAL GARDEN AND PET CLASS A,Consumer Staples,NASDAQ
SMA,SMA,SMARTSTOP SELF STORAGE REIT INC,Real Estate,NYSE
FTRE,FTRE,FORTREA HOLDINGS INC,Health Care,NASDAQ
ZD,ZD,ZIFF DAVIS INC,Communication,NASDAQ
PRLB,PRLB,PROTO LABS INC,Industrials,NYSE
BLX,BLX,BLADEX INC CLASS E,Financials,NYSE
INTA,INTA,INTAPP INC,Information Technology,NASDAQ
VRDN,VRDN,VIRIDIAN THERAPEUTICS ORS INC,Health Care,NASDAQ
STBA,STBA,S AND T BANCORP INC,Financials,NASDAQ
CTS,CTS,CTS CORP,Information Technology,NYSE
EYE,EYE,NATIONAL VISION HOLDINGS INC,Consumer Discretionary,NASDAQ
SPNT,SPNT,SIRIUSPOINT LTD,Financials,NYSE
AUPH,AUPH,AURINIA PHARMACEUTICALS INC,Health Care,NASDAQ
TCBK,TCBK,TRICO BANCSHARES,Financials,NASDAQ
ADNT,ADNT,ADIENT PLC,Consumer Discretionary,NYSE
IIPR,IIPR,INNOVATIVE INDUSTRIAL PROPERTIES I,Real Estate,NYSE
LPG,LPG,DORIAN LPG LTD,Energy,NYSE
HOPE,HOPE,HOPE BANCORP INC,Financials,NASDAQ
SONO,SONO,SONOS INC,Consumer Discretionary,NASDAQ
CCS,CCS,CENTURY COMMUNITIES INC,Consumer Discretionary,NYSE
URGN,URGN,UROGEN PHARMA LTD,Health Care,NASDAQ
CRVL,CRVL,CORVEL CORP,Health Care,NASDAQ
WOR,WOR,WORTHINGTON ENTERPRISES INC,Industrials,NYSE
PRG,PRG,PROG HOLDINGS INC,Financials,NYSE
SRCE,SRCE,1ST SOURCE CORP,Financials,NASDAQ
SNDX,SNDX,SYNDAX PHARMACEUTICALS INC,Health Care,NASDAQ
AMC,AMC,AMC ENTERTAINMENT HOLDINGS INC CLA,Communication,NYSE
PLAB,PLAB,PHOTRONICS INC,Information Technology,NASDAQ
QCRH,QCRH,QCR HOLDINGS INC,Financials,NASDAQ
GRC,GRC,GORMAN-RUPP,Industrials,NYSE
OCUL,OCUL,OCULAR THERAPEUTIX INC,Health Care,NASDAQ
FUN,FUN,SIX FLAGS ENTERTAINMENT CORP,Consumer Discretionary,NYSE
HG,HG,HAMILTON INSURANCE GROUP LTD CLASS,Financials,NYSE
PRGS,PRGS,PROGRESS SOFTWARE CORP,Information Technology,NASDAQ
BFLY,BFLY,BUTTERFLY NETWORK INC CLASS A,Health Care,NYSE
TFIN,TFIN,TRIUMPH FINANCIAL INC,Financials,NYSE
ENOV,ENOV,ENOVIS CORP,Health Care,NYSE
OMCL,OMCL,OMNICELL INC,Health Care,NASDAQ
HTH,HTH,HILLTOP HOLDINGS INC,Financials,NYSE
NUVB,NUVB,NUVATION BIO INC CLASS A,Health Care,NYSE
PAGS,PAGS,PAGSEGURO DIGITAL LTD CLASS A,Financials,NYSE
KOD,KOD,KODIAK SCIENCES INC,Health Care,NASDAQ
DBD,DBD,DIEBOLD NIXDORF INC,Information Technology,NYSE
GLUE,GLUE,MONTE ROSA THERAPEUTICS INC,Health Care,NASDAQ
GNL,GNL,GLOBAL NET LEASE INC,Real Estate,NYSE
WD,WD,WALKER & DUNLOP INC,Financials,NYSE
DJT,DJT,TRUMP MEDIA TECHNOLOGY GROUP CORP,Communication,NASDAQ
DCOM,DCOM,DIME COMMERCIAL BANCSHARES INC,Financials,NYSE
ASTH,ASTH,ASTRANA HEALTH INC,Health Care,NASDAQ
ALG,ALG,ALAMO GROUP INC,Industrials,NYSE
GENI,GENI,GENIUS SPORTS LTD,Consumer Discretionary,NYSE
OCFC,OCFC,OCEANFIRST FINANCIAL CORP,Financials,NASDAQ
SAFT,SAFT,SAFETY INSURANCE GROUP INC,Financials,NASDAQ
WWW,WWW,WOLVERINE WORLD WIDE INC,Consumer Discretionary,NYSE
EFC,EFC,ELLINGTON FINANCIAL INC,Financials,NYSE
OBK,OBK,ORIGIN BANCORP INC,Financials,NYSE
RDW,RDW,REDWIRE CORP,Industrials,NYSE
MBC,MBC,MASTERBRAND INC,Industrials,NYSE
KMPR,KMPR,KEMPER CORP,Financials,NYSE
PVLA,PVLA,PALVELLA THERAPEUTICS INC,Health Care,NASDAQ
QUBT,QUBT,QUANTUM COMPUTING INC,Information Technology,NASDAQ
STOK,STOK,STOKE THERAPEUTICS INC,Health Care,NASDAQ
LZB,LZB,LA-Z-BOY INC,Consumer Discretionary,NYSE
ANIP,ANIP,ANI PHARMACEUTICALS INC,Health Care,NASDAQ
PPTA,PPTA,PERPETUA RESOURCES CORP,Materials,NASDAQ
NVCR,NVCR,NOVOCURE LTD,Health Care,NASDAQ
TRIP,TRIP,TRIPADVISOR INC,Communication,NASDAQ
CMPR,CMPR,CIMPRESS PLC,Industrials,NASDAQ
CNOB,CNOB,CONNECTONE BANCORP INC,Financials,NASDAQ
FLY,FLY,FIREFLY AEROSPACE INC,Industrials,NASDAQ
NESR,NESR,NATIONAL ENERGY SERVICES REUNITED,Energy,NASDAQ
SRPT,SRPT,SAREPTA THERAPEUTICS INC,Health Care,NASDAQ
HCSG,HCSG,HEALTHCARE SERVICES GROUP INC,Industrials,NASDAQ
PBI,PBI,PITNEY BOWES INC,Industrials,NYSE
HRMY,HRMY,HARMONY BIOSCIENCES HLDG INC,Health Care,NASDAQ
FA,FA,FIRST ADVANTAGE CORP,Industrials,NASDAQ
PEBO,PEBO,PEOPLES BANCORP INC,Financials,NASDAQ
INVA,INVA,INNOVIVA INC,Health Care,NASDAQ
GLOB,GLOB,GLOBANT SA,Information Technology,NYSE
UNIT,UNIT,UNITI GROUP INC,Communication,NASDAQ
RLJ,RLJ,RLJ LODGING TRUST REIT,Real Estate,NYSE
BFC,BFC,BANK FIRST CORP,Financials,NASDAQ
LUNR,LUNR,INTUITIVE MACHINES INC CLASS A,Industrials,NASDAQ
HLMN,HLMN,HILLMAN SOLUTIONS CORP,Industrials,NASDAQ
MLKN,MLKN,MILLERKNOLL INC,Industrials,NASDAQ
MQ,MQ,MARQETA INC CLASS A,Financials,NASDAQ
ARLO,ARLO,ARLO TECHNOLOGIES INC,Information Technology,NYSE
DV,DV,DOUBLEVERIFY HOLDINGS INC,Communication,NYSE
BRBR,BRBR,BELLRING BRANDS INC,Consumer Staples,NYSE
AMR,AMR,ALPHA METALLURGICAL RESOURCE INC,Materials,NYSE
LOB,LOB,LIVE OAK BANCSHARES INC,Financials,NYSE
RXRX,RXRX,RECURSION PHARMACEUTICALS INC CLAS,Health Care,NASDAQ
BL,BL,BLACKLINE INC,Information Technology,NASDAQ
DMRA,DMRA,DAMORA THERAPEUTICS INC,Health Care,NASDAQ
PDFS,PDFS,PDF SOLUTIONS INC,Information Technology,NASDAQ
GBX,GBX,GREENBRIER INC,Industrials,NYSE
SHLS,SHLS,SHOALS TECHNOLOGIES GROUP INC CLAS,Industrials,NASDAQ
KOS,KOS,KOSMOS ENERGY LTD,Energy,NYSE
SFL,SFL,SFL LTD,Energy,NYSE
SBH,SBH,SALLY BEAUTY HOLDINGS INC,Consumer Discretionary,NYSE
MLYS,MLYS,MINERALYS THERAPEUTICS INC,Health Care,NASDAQ
NTLA,NTLA,INTELLIA THERAPEUTICS INC,Health Care,NASDAQ
XNCR,XNCR,XENCOR INC,Health Care,NASDAQ
GSHD,GSHD,GOOSEHEAD INSURANCE INC CLASS A,Financials,NASDAQ
LKFN,LKFN,LAKELAND FINANCIAL CORP,Financials,NASDAQ
MCRI,MCRI,MONARCH CASINO AND RESORT INC,Consumer Discretionary,NASDAQ
FMC,FMC,FMC CORP,Materials,NYSE
LIND,LIND,LINDBLAD EXPEDITIONS HOLDINGS INC,Consumer Discretionary,NASDAQ
DEI,DEI,DOUGLAS EMMETT REIT INC,Real Estate,NYSE
ICFI,ICFI,ICF INTERNATIONAL INC,Industrials,NASDAQ
TNC,TNC,TENNANT,Industrials,NYSE
FBRX,FBRX,FORTE BIOSCIENCES INC,Health Care,NASDAQ
BLKB,BLKB,BLACKBAUD INC,Information Technology,NASDAQ
CNMD,CNMD,CONMED CORP,Health Care,NYSE
ACT,ACT,ENACT HOLDINGS INC,Financials,NASDAQ
BTDR,BTDR,BITDEER TECHNOLOGIES GROUP CLASS A,Information Technology,NASDAQ
PRGO,PRGO,PERRIGO PLC,Health Care,NYSE
TPB,TPB,TURNING POINT BRANDS INC,Consumer Staples,NYSE
INSP,INSP,INSPIRE MEDICAL SYSTEMS INC,Health Care,NYSE
XERS,XERS,XERIS BIOPHARMA HOLDINGS INC,Health Care,NASDAQ
BJRI,BJRI,BJS RESTAURANTS INC,Consumer Discretionary,NASDAQ
MBIN,MBIN,MERCHANTS BANCORP,Financials,NASDAQ
SCL,SCL,STEPAN,Materials,NYSE
SAM,SAM,BOSTON BEER INC CLASS A,Consumer Staples,NYSE
BKE,BKE,BUCKLE INC,Consumer Discretionary,NYSE
DCH,DCH,DAUCH CORPORATION,Consumer Discretionary,NYSE
TSHA,TSHA,TAYSHA GENE THERAPIES INC,Health Care,NASDAQ
PRCH,PRCH,PORCH GROUP INC,Information Technology,NASDAQ
PNTG,PNTG,PENNANT GROUP INC,Health Care,NASDAQ
YELP,YELP,YELP INC,Communication,NYSE
WGS,WGS,GENEDX HOLDINGS CORP CLASS A,Health Care,NASDAQ
AMSC,AMSC,AMERICAN SUPERCONDUCTOR CORP,Industrials,NASDAQ
DLO,DLO,DLOCAL CLASS A,Financials,NASDAQ
CRI,CRI,CARTERS INC,Consumer Discretionary,NYSE
BBAI,BBAI,BIGBEAR.AI HOLDINGS INC,Information Technology,NYSE
ACVA,ACVA,ACV AUCTIONS INC CLASS A,Industrials,NYSE
LEG,LEG,LEGGETT & PLATT INC,Consumer Discretionary,NYSE
NAT,NAT,NORDIC AMERICAN TANKERS LTD,Energy,NYSE
TMP,TMP,TOMPKINS FINANCIAL CORP,Financials,NYSE American
WABC,WABC,WESTAMERICA BANCORPORATION,Financials,NASDAQ
UVV,UVV,UNIVERSAL CORP,Consumer Staples,NYSE
AMN,AMN,AMN HEALTHCARE INC,Health Care,NYSE
VSTS,VSTS,VESTIS CORP,Industrials,NYSE
UAA,UAA,UNDER ARMOUR INC CLASS A,Consumer Discretionary,NYSE
ORC,ORC,ORCHID ISLAND CAPITAL INC,Financials,NYSE
SCSC,SCSC,SCANSOURCE INC,Information Technology,NASDAQ
FLO,FLO,FLOWERS FOODS INC,Consumer Staples,NYSE
SLDE,SLDE,SLIDE INSURANCE HOLDINGS INC,Financials,NASDAQ
THRM,THRM,GENTHERM INC,Consumer Discretionary,NASDAQ
GIII,GIII,G III APPAREL GROUP LTD,Consumer Discretionary,NASDAQ
NN,NN,NEXTNAV INC,Information Technology,NASDAQ
REAL,REAL,THE REALREAL INC,Consumer Discretionary,NASDAQ
IMKTA,IMKTA,INGLES MARKETS INC CLASS A,Consumer Staples,NASDAQ
CTBI,CTBI,COMMUNITY TRUST BANCORP INC,Financials,NASDAQ
ECVT,ECVT,ECOVYST INC,Materials,NYSE
BLFS,BLFS,BIOLIFE SOLUTIONS INC,Health Care,NASDAQ
TNDM,TNDM,TANDEM DIABETES CARE INC,Health Care,NASDAQ
TIC,TIC,TIC SOLUTIONS INC,Industrials,NYSE
ENR,ENR,ENERGIZER HOLDINGS INC,Consumer Staples,NYSE
RAPP,RAPP,RAPPORT THERAPEUTICS INC,Health Care,NASDAQ
ETON,ETON,ETON PHARMACEUTCIALS INC,Health Care,NASDAQ
CBRL,CBRL,CRACKER BARREL OLD COUNTRY STORE I,Consumer Discretionary,NASDAQ
UVSP,UVSP,UNIVEST FINANCIAL CORP,Financials,NASDAQ
AMPX,AMPX,AMPRIUS TECHNOLOGIES INC,Industrials,NYSE
FMBH,FMBH,FIRST MID BANCSHARES INC,Financials,NASDAQ
TWO,TWO,TWO HARBORS INVESTMENT CORP,Financials,NYSE
HLX,HLX,HELIX ENERGY SOLUTIONS GROUP INC,Energy,NYSE
ROCK,ROCK,GIBRALTAR INDUSTRIES INC,Industrials,NASDAQ
EPC,EPC,EDGEWELL PERSONAL CARE,Consumer Staples,NYSE
ALNT,ALNT,ALLIENT INC,Industrials,NASDAQ
BY,BY,BYLINE BANCORP INC,Financials,NYSE
FCEL,FCEL,FUELCELL ENERGY INC,Industrials,NASDAQ
HLF,HLF,HERBALIFE LTD,Consumer Staples,NYSE
OSBC,OSBC,OLD SECOND BANCORP INC,Financials,NASDAQ
SLVM,SLVM,SYLVAMO CORP,Materials,NYSE
LINC,LINC,LINCOLN EDUCATIONAL SERVICES CORP,Consumer Discretionary,NASDAQ
SGRY,SGRY,SURGERY PARTNERS INC,Health Care,NASDAQ
XPRO,XPRO,EXPRO LTD,Energy,NYSE
REX,REX,REX AMERICAN RESOURCES CORP,Energy,NYSE
PDM,PDM,PIEDMONT REALTY TRUST INC CLASS A,Real Estate,NYSE
BW,BW,BABCOCK AND WILCOX ENTERPRISES INC,Industrials,NYSE
UMH,UMH,UMH PROPERTIES INC,Real Estate,NYSE
MNKD,MNKD,MANNKIND CORP,Health Care,NASDAQ
AORT,AORT,ARTIVION INC,Health Care,NYSE
HROW,HROW,HARROW INC,Health Care,NASDAQ
EOSE,EOSE,EOS ENERGY ENTERPRISES INC CLASS A,Industrials,NASDAQ
NSSC,NSSC,NAPCO SECURITY TECHNOLOGIES INC,Information Technology,NASDAQ
HLIT,HLIT,HARMONIC INC,Information Technology,NASDAQ
HFWA,HFWA,HERITAGE FINANCIAL CORP,Financials,NASDAQ
MYE,MYE,MYERS INDUSTRIES INC,Materials,NYSE
VOYG,VOYG,VOYAGER TECHNOLOGIES INC CLASS A,Industrials,NYSE
USLM,USLM,UNITED STATES LIME AND MINERALS IN,Materials,NASDAQ
ARDX,ARDX,ARDELYX INC,Health Care,NASDAQ
AI,AI,C3 AI INC CLASS A,Information Technology,NYSE
NWPX,NWPX,NWPX INFRASTRUCTURE INC,Industrials,NASDAQ
USPH,USPH,US PHYSICAL THERAPY INC,Health Care,NYSE
PLGO,PLGO,PELAGOS INSURANCE CAPITAL LTD,Financials,NYSE
SAH,SAH,SONIC AUTOMOTIVE INC CLASS A,Consumer Discretionary,NYSE
SKYT,SKYT,SKYWATER TECHNOLOGY INC,Information Technology,NASDAQ
AZTA,AZTA,AZENTA INC,Health Care,NASDAQ
AGL,AGL,AGILON HEALTH,Health Care,NYSE
AAT,AAT,AMERICAN ASSETS TRUST REIT INC,Real Estate,NYSE
